style,overall_rate,name,url,brewery,style_rate
Golden Ale/Blond Ale,49,Palaeolithic,https://www.ratebeer.com/beer/caveman-palaeolithic/219309/,CAVEMAN,85
India Pale Ale (IPA),,Megalithic,https://www.ratebeer.com/beer/caveman-megalithic/213595/,CAVEMAN,
Session IPA,,Ale X,https://www.ratebeer.com/beer/church-hanbrewery-ale-x/492226/,CHURCH HANBREWERY,
,,Red Beeter,https://www.ratebeer.com/p/westholme-stores-goring/9142/388623/,CHURCH HANBREWERY,
Witbier,,Witty Bea,https://www.ratebeer.com/beer/church-hanbrewery-witty-bea/515255/,CHURCH HANBREWERY,
Smoked,,Rauk,http://www.ratebeer.com/beer/church-hanbrewery-rauk/450440/,CHURCH HANBREWERY,
Porter,,Bluenette,https://www.ratebeer.com/beer/church-hanbrewery-bluenette/480686/,CHURCH HANBREWERY,
Black IPA,,Mat Black,https://www.ratebeer.com/beer/church-hanbrewery-mat-black/478077/,CHURCH HANBREWERY,
Bière de Garde,,1 4 Keeps,https://www.ratebeer.com/beer/church-hanbrewery-1-4-keeps-one-for-keeps/485108/,CHURCH HANBREWERY,
Dunkelweizen,,Ze Braun,https://www.ratebeer.com/beer/church-hanbrewery-ze-braun/485075/,CHURCH HANBREWERY,
Golden Ale/Blond Ale,30,Classic Blonde,http://www.ratebeer.com/beer/clarks-classic-blonde/26333/,CLARKS,42
Golden Ale/Blond Ale,41,Gorgon's Alive,https://www.ratebeer.com/beer/clarkshaws-gorgons-alive/233816/,CLARKSHAWS,66
Bitter,43,Phoenix Rising,https://www.ratebeer.com/beer/clarkshaws-phoenix-rising/233995/,CLARKSHAWS,79
Bitter,24,Strange Brew No.1,https://www.ratebeer.com/beer/clarkshaws-strange-brew-1/237153/,CLARKSHAWS,24
India Pale Ale (IPA),43,Hellhound IPA,https://www.ratebeer.com/beer/clarkshaws-hellhound-ipa/238571/,CLARKSHAWS,18
,,Coachmans Summer Ale,https://www.ratebeer.com/brewers/coach-house/730/,COACH HOUSE,
Bitter,27,Dick Turpin,https://www.ratebeer.com/beer/coach-house-dick-turpin/22632/2/1/,COACH HOUSE,31
Fruit Beer,,Apricot,https://www.ratebeer.com/beer/coach-house-apricot/306258/,COACH HOUSE,
Bitter,,Banoffee,https://www.ratebeer.com/beer/coach-house-banoffee-bitter/47044/,COACH HOUSE,
Premium Bitter/ESB,28,Blueberry,https://www.ratebeer.com/beer/coach-house-blueberry-classic-bitter/76994/,COACH HOUSE,20
Fruit Beer,,Cherry,https://www.ratebeer.com/beer/coach-house-cherry/148801/,COACH HOUSE,
Premium Bitter/ESB,,Coconut,https://www.ratebeer.com/beer/coach-house-coconut/148218/,COACH HOUSE,
Fruit Beer,,Cranberry,https://www.ratebeer.com/beer/coach-house-cranberry/109613/,COACH HOUSE,
Golden Ale/Blond Ale,,Lemon and Ginger,https://www.ratebeer.com/beer/coach-house-lemon-and-ginger/129680/,COACH HOUSE,
Fruit Beer,,Passion Fruit,https://www.ratebeer.com/beer/coach-house-passion-fruit/79654/,COACH HOUSE,
Fruit Beer,,Pineapple,https://www.ratebeer.com/beer/coach-house-pineapple/146465/,COACH HOUSE,
Golden Ale/Blond Ale,,Pink Grapefruit,https://www.ratebeer.com/beer/coach-house-pink-grapefruit/123218/,COACH HOUSE,
Fruit Beer,,Raspberry,https://www.ratebeer.com/beer/coach-house-raspberry/141657/,COACH HOUSE,
English Strong Ale,,Strawberry,https://www.ratebeer.com/beer/coach-house-strawberry/65604/,COACH HOUSE,
Mild Ale,61,Merry Maidens Mild,https://www.ratebeer.com/beer/coastal-merry-maidens-mild/75967/,COASTAL,84
American Pale Ale,,Poseidon Extra,https://www.ratebeer.com/beer/coastal-poseidon-extra-cask/289022/,COASTAL,
Golden Ale/Blond Ale,,Cornish Cascade,https://www.ratebeer.com/beer/coastal-cornish-cascade/336524/,COASTAL,
unknown,0,Calypso,,COTLEIGH,0
Bitter,34,Brewery Best Bitter,https://www.ratebeer.com/beer/daleside-old-leg-over/5504/,DALESIDE,47
Golden Ale/Blond Ale,89,Hophead,https://www.ratebeer.com/beer/dark-star-hophead/16389/,DARK STAR,100
Bitter,49,Partridge Best,https://www.ratebeer.com/beer/dark-star-partridge/137531/,DARK STAR,92
Stout,72,Espresso,https://www.ratebeer.com/beer/dark-star-espresso-stout-keg-bottle/60939/,DARK STAR,58
Golden Ale/Blond Ale,53,Sunburst,https://www.ratebeer.com/beer/dark-star-sunburst-bottle/60940/,DARK STAR,90
American Pale Ale,90,American Pale Ale,https://www.ratebeer.com/beer/dark-star-american-pale-ale/32386/,DARK STAR,94
Bitter,37,BB,https://www.ratebeer.com/beer/donnington-bb/22326/,DONNINGTON,57
Golden Ale/Blond Ale,,Gold,https://www.ratebeer.com/beer/donnington-gold/227506/,DONNINGTON,
Bitter,49,SBA,https://www.ratebeer.com/beer/donnington-sba/22327/,DONNINGTON,93
Golden Ale/Blond Ale,,Pacific Gold,https://www.ratebeer.com/beer/dorking-pacific-gold/514416/,DORKING,
Golden Ale/Blond Ale,,Pilcrow Pale,https://www.ratebeer.com/beer/dorking-pilcrow-pale/456596/,DORKING,
Bitter,37,DB One,https://www.ratebeer.com/beer/dorking-db-number-one-cask/110466/,DORKING,55
Wheat Ale,,Lunar White,https://www.ratebeer.com/beer/dorking-lunar-white/514413/,DORKING,
American Pale Ale,,Buffalo Buffalo,https://www.ratebeer.com/beer/dorking-buffalo-buffalo/346318/,DORKING,
American Pale Ale,,Bogus Buffalo,https://www.ratebeer.com/beer/downton-bogus-buffalo-apa/346694/,DOWNTON,
Old Ale,56,Chocolate Orange Delight,https://www.ratebeer.com/beer/downton-chocolate-orange-delight/81462/,DOWNTON,38
,,Beer Goggles,https://www.ratebeer.com/brewers/elgoods/703/,ELGOODS,
Bitter,41,Nettlethrasher,https://www.ratebeer.com/beer/elland-nettlethrasher/31743/,ELLAND,73
Porter,96,1872 Porter,https://www.ratebeer.com/beer/elland-1872-porter/23663/,ELLAND,98
Porter,72,Comanche Porter,https://www.ratebeer.com/beer/errant-comanche-porter/444691/,ERRANT,59
American Pale Ale,49,JAM Mango Pale Ale,https://www.ratebeer.com/beer/first-chop-jam/432440/,FIRST CHOP,44
Stout,67,POD Vanilla Stout,https://www.ratebeer.com/beer/first-chop-pod/390352/,FIRST CHOP,50
American Pale Ale,86,Pale,https://www.ratebeer.com/beer/five-points-pale/216464/,FIVE POINTS,89
Brown Ale,88,Brick Field Brown,https://www.ratebeer.com/beer/five-points-brick-field-brown/426225/,FIVE POINTS,96
Amber Ale,75,Hook Island Red,https://www.ratebeer.com/beer/five-points-hook-island-red/211968/,FIVE POINTS,94
Porter,34,Jackdaw Porter,https://www.ratebeer.com/beer/flying-monk-jackdaw-porter/418662/,FLYING MONK,13
Bitter,46,English Garden,https://www.ratebeer.com/beer/franklins-english-garden/216723/,FRANKLINS,88
Premium Bitter/ESB,77,London Pride,https://www.ratebeer.com/beer/fullers-london-pride-pasteurised/288/,FULLERS,96
Premium Bitter/ESB,94,ESB,https://www.ratebeer.com/beer/fullers-esb-bottle-keg/290/,FULLERS,100
Bitter,38,Seafarers,https://www.ratebeer.com/beer/gales-seafarers-ale--best-bitter--english-ale-cask/78072/,GALES,63
Golden Ale/Blond Ale,45,Beachcomber,https://www.ratebeer.com/beer/gales-beachcomber-cask/281035/,GALES,76
Premium Bitter/ESB,53,HSB,https://www.ratebeer.com/beer/gales-hsb/4330/,GALES,84
Mild Ale,57,Real Mild,https://www.ratebeer.com/beer/goachers-real-mild-ale/17006/,GOACHERS,81
Sweet Stout,,Not So Black & White,https://www.ratebeer.com/beer/godstone-not-so-black-white-stout/446382/,GODSTONE,
Bitter,,Trenchmans Hop,https://www.ratebeer.com/beer/godstone-trenchmans-hop/473106/,GODSTONE,
Session IPA,,Pondtail Pale,https://www.ratebeer.com/beer/godstone-pondtail-pale/447014/,GODSTONE,
Premium Bitter/ESB,,Bitter Entropy,https://www.ratebeer.com/beer/godstone-bitter-entropy/406689/,GODSTONE,
Fruit Beer,41,Framboise Raspberry Beer,https://www.ratebeer.com/beer/grafton-framboise/211852/,GRAFTON,65
unknown,0,Pasa Pasha Passion Fruit Beer,,GRAFTON,0
Fruit Beer,,Lady Ruby,https://www.ratebeer.com/beer/grafton-lady-ruby/220391/,GRAFTON,
Premium Bitter/ESB,36,Apricot Jungle,https://www.ratebeer.com/beer/grafton-apricot-jungle/257932/,GRAFTON,37
Sweet Stout,,Caramel Stout,https://www.ratebeer.com/beer/grafton-caramel-stout/387771/,GRAFTON,
unknown,0,Marmalady Orange Beer,,GRAFTON,0
Golden Ale/Blond Ale,62,Christopher,https://www.ratebeer.com/beer/great-heck-christopher/330610/,GREAT HECK,94
Bitter,,Mount Hood,https://www.ratebeer.com/beer/great-heck-mount-hood/434861/,GREAT HECK,
Golden Ale/Blond Ale,80,Treasure IPA,https://www.ratebeer.com/beer/great-heck-treasure-ipa/204766/,GREAT HECK,98
Wheat Ale,40,Orange Wheat,https://www.ratebeer.com/beer/green-jack-orange-wheat-beer/33415/,GREEN JACK,54
Stout,87,Lurcher Stout,https://www.ratebeer.com/beer/green-jack-lurcher-stout/87934/,GREEN JACK,86
Imperial Stout,97,Baltic Trader Imperial Stout,https://www.ratebeer.com/beer/green-jack-baltic-trader/109799/,GREEN JACK,68
Golden Ale/Blond Ale,,Take It Easy,https://www.ratebeer.com/beer/gyle-59-take-it-easy/406351/,GYLE 59,
Bitter,44,Freedom Hiker,https://www.ratebeer.com/beer/gyle-59-freedom-hiker/289565/,GYLE 59,84
unknown,0,Thoroughbred,,GYLE 59,0
Saison,70,Toujours,https://www.ratebeer.com/beer/gyle-59-toujours/261733/,GYLE 59,46
unknown,0,Sejuiced Mousse,,GYLE 59,0
Stout,,Brad's Coffee Stout,https://www.ratebeer.com/beer/gyle-59-brads-coffee-stout/489123/,GYLE 59,
India Pale Ale (IPA),40,Nettle IPA,https://www.ratebeer.com/beer/gyle-59-nettle-ipa/280468/,GYLE 59,13
Spice/Herb/Vegetable,58,Dorset GIPA,https://www.ratebeer.com/beer/gyle-59-dorset-gipa/271180/,GYLE 59,77
Porter,83,The Favourite,https://www.ratebeer.com/beer/gyle-59-the-favourite/249030/,GYLE 59,80
Porter,83,Starstruck,https://www.ratebeer.com/beer/gyle-59-starstruck/249033/,GYLE 59,80
Bitter,34,Yorkshire Session Ale,https://www.ratebeer.com/beer/hambleton-bitter/38245/,HAMBLETON,39
unknown,0,Malty Rye Session Ale,,HARESFOOT,0
Golden Ale/Blond Ale,,All Rounder,https://www.ratebeer.com/beer/haresfoot-all-rounder/343375/137343/,HARESFOOT,
Bitter,31,Sundial Golden Ale,https://www.ratebeer.com/beer/haresfoot-sundial/267218/,HARESFOOT,41
Bitter,36,Lock Keepers Quality English Ale,https://www.ratebeer.com/beer/haresfoot-lock-keepers/260153/,HARESFOOT,50
Amber Ale,,Stardust,https://www.ratebeer.com/beer/haresfoot-stardust/416424/,HARESFOOT,
Session IPA,51,Totem American IPA,https://www.ratebeer.com/beer/haresfoot-totem/294570/1/2/,HARESFOOT,36
India Pale Ale (IPA),,English IPA,https://www.ratebeer.com/beer/haresfoot-crafty-hare-stowaway-ipa/502024/,HARESFOOT,
Bitter,33,IPA,https://www.ratebeer.com/beer/harveys-india-pale-ale-ipa-cask/324103/,HARVEYS,46
Golden Ale/Blond Ale,42,Wild Hop,https://www.ratebeer.com/beer/harveys-sussex-wild-hop/223230/,HARVEYS,67
Bitter,65,Sussex Best Bitter,https://www.ratebeer.com/beer/harveys-sussex-best-bitter-cask/4369/,HARVEYS,98
Bitter,49,Armada Ale,https://www.ratebeer.com/beer/harveys-armada-ale-cask/4357/,HARVEYS,93
unknown,0,Orkney Blast,,HIGHLAND BREWING,0
Bitter,,Great English Hops,https://www.ratebeer.com/beer/holsworthy-great-english-hops/532258/,HOLSWORTHY,
unknown,0,Bang On,,HOLSWORTHY,0
unknown,0,Roar With Pride,,HOLSWORTHY,0
Bitter,36,GFB,https://www.ratebeer.com/beer/hop-back-gfb-gilberts-first-brew/1239/,HOPBACK,52
Bitter,,The English,https://www.ratebeer.com/beer/hop-fuzz-the-english/170173/,HOP FUZZ,
Bitter,50,Skrimshander IPA,https://www.ratebeer.com/beer/hopdaemon-skrimshander/15420/,HOPDAEMON,94
Golden Ale/Blond Ale,47,Lemon & Ginger,https://www.ratebeer.com/beer/humpty-dumpty-lemon-ginger-ale/16201/,HUMPTY DUMPTY,81
unknown,0,Blonde,,ISCA,0
,,Dawlish Bitter,https://www.ratebeer.com/brewers/isca-ales--gargoyles/8027/,ISCA,
Wheat Ale,,Holcombe White,https://www.ratebeer.com/beer/gargoyles-holcombe-white/151777/,ISCA,
Golden Ale/Blond Ale,,Dawlish Pale,https://www.ratebeer.com/beer/isca-dawlish-ale/471928/,ISCA,
,,Trumped,https://www.ratebeer.com/brewers/isca-ales--gargoyles/8027/,ISCA,
Bitter,27,Cocker Hoop,https://www.ratebeer.com/beer/jennings-cocker-hoop-bottle/5635/,JENNINGS,35
Golden Ale/Blond Ale,34,Riders on the Storm,https://www.ratebeer.com/beer/kelham-island-riders-on-the-storm/65997/,KELHAM ISLAND,46
Golden Ale/Blond Ale,71,Pale Rider,https://www.ratebeer.com/beer/kelham-island-pale-rider/12729/,KELHAM ISLAND,97
Traditional Ale,50,Zingiber,https://www.ratebeer.com/beer/kent-zingiber/134959/,KENT,68
unknown,0,Cobnut,,KENT,0
,,Micro Beer,https://www.ratebeer.com/brewers/kew-brewery/23350/,KEW,
Sweet Stout,71,Kew Green (& Black),https://www.ratebeer.com/beer/kew-green-black/354293/,KEW,46
unknown,0,Pagoda #5,,KEW,0
Porter,61,Petersham Porter,https://www.ratebeer.com/beer/kew-petersham-porter/369771/,KEW,45
Specialty Grain,52,Richmond Rye,https://www.ratebeer.com/beer/kew-richmond/348888/,KEW,60
unknown,0,Sandycombe,,KEW,0
,,Fruitbat,https://www.ratebeer.com/brewers/kew-brewery/23350/,KEW,
Stout,85,Jubilee Stout,https://www.ratebeer.com/beer/kirkby-lonsdale-jubilee/102561/,KIRKBY LONSDALE,82
Mild Ale,78,Midnight Bell,https://www.ratebeer.com/beer/leeds-midnight-bell/77331/,LEEDS,96
Golden Ale/Blond Ale,,Goldilox,https://www.ratebeer.com/beer/little-ox-goldilox/497692/,LITTLE OX,
Bitter,,Oddbod,https://www.ratebeer.com/beer/little-ox-oddbod/466954/,LITTLE OX,
American Pale Ale,,Wipeout,https://www.ratebeer.com/beer/little-ox-wipeout/466953/,LITTLE OX,
Premium Bitter/ESB,31,Moor Ale,https://www.ratebeer.com/beer/little-valley-moor-ale/56771/,LITTLE VALLEY,27
Golden Ale/Blond Ale,37,Bamboozle,https://www.ratebeer.com/beer/loddon-bamboozle/27424/,LODDON,49
unknown,0,Colossus,,LONG MAN,0
Golden Ale/Blond Ale,40,Lyme Gold,https://www.ratebeer.com/beer/lyme-regis-lyme-gold-prev-town-mill/135309/,LYME REGIS,55
English Strong Ale,,Tempest,https://www.ratebeer.com/beer/lyme-regis-tempest/489366/,LYME REGIS,
Golden Ale/Blond Ale,,Summer Ale,https://www.ratebeer.com/beer/lytham-summer-ale/130209/,LYTHAM,
Mild Ale,,Golden Mild,https://www.ratebeer.com/beer/lytham-golden-mild/526125/,LYTHAM,
Stout,,Lytham Stout,https://www.ratebeer.com/beer/lytham-stout/118537/,LYTHAM,
unknown,0,Banks Mild,,MARSTONS,0
Premium Bitter/ESB,34,Old Empire,https://www.ratebeer.com/beer/marstons-old-empire-bottle/24312/,MARSTONS,34
Porter,62,Blackberry Porter,https://www.ratebeer.com/beer/mauldons-blackberry-porter/141138/,MAULDONS,46
Wheat Ale,36,Raspberry Wheat Beer,https://www.ratebeer.com/beer/milestone-raspberry-wheat-beer/73291/,MILESTONE,49
Mild Ale,,Curiously Dark Mild,https://www.ratebeer.com/beer/millis-curiously-dark-mild/458801/,MILLIS,
Golden Ale/Blond Ale,41,Blond Witch,https://www.ratebeer.com/beer/moorhouses-blond-witch-cask/25933/,MOORHOUSE,65
Premium Bitter/ESB,35,Witch Hunt,https://www.ratebeer.com/beer/moorhouses-witch-hunt/94723/1/2/,MOORHOUSE,17
Mild Ale,40,Velvet Mild,https://www.ratebeer.com/beer/naylors-velvet/172908/,NAYLORS,39
Bitter,17,Pieces of Eight,https://www.ratebeer.com/beer/nelson-pieces-of-eight/64073/,NELSON,8
unknown,0,Core Commander,,NELSON,0
Premium Bitter/ESB,19,Friggin in the Riggin,https://www.ratebeer.com/beer/nelson-friggin-in-the-riggin/1223/7/1/,NELSON,5
Porter,41,Nelson's Blood,https://www.ratebeer.com/beer/lord-nelson-nelsons-blood/10439/,NELSON,18
Porter,75,Old Growler,https://www.ratebeer.com/beer/nethergate-old-growler-cask/54883/,NETHERGATE,63
Porter,63,No 3 Porter,https://www.ratebeer.com/beer/nine-standards-no3-porter/300312/,NINE STANDARDS,47
India Pale Ale (IPA),96,Green Devil IPA,https://www.ratebeer.com/beer/oakham-green-devil-ipa/149716/,OAKHAM,96
Mild Ale,24,Old Mill Mild,https://www.ratebeer.com/beer/old-mill-traditional-mild/6736/,OLD MILL,14
India Pale Ale (IPA),98,IPA,https://www.ratebeer.com/beer/kern-river-just-outstanding-ipa/60743/,OUTSTANDING,99
Session IPA,,Low Hanging Fruit,https://www.ratebeer.com/beer/paradigm-low-hanging-fruit/352324/,PARADIGM,
unknown,0,Fake News,,PARADIGM,0
Golden Ale/Blond Ale,,Touchpoint,https://www.ratebeer.com/beer/paradigm-touch-point/363991/,PARADIGM,
Session IPA,,Juxtaposition,https://www.ratebeer.com/beer/paradigm-juxtaposition/442114/,PARADIGM,
American Pale Ale,,Heads Up,https://www.ratebeer.com/beer/paradigm-heads-up/497693/,PARADIGM,
Bitter,,Win Win,https://www.ratebeer.com/beer/paradigm-win-win/363990/,PARADIGM,
unknown,0,Old School,,PARADIGM,0
Session IPA,49,Killcat Pale,https://www.ratebeer.com/beer/park-killcat-pale/310404/,PARK,33
Golden Ale/Blond Ale,,Summer Pale,https://www.ratebeer.com/beer/stanley-park-summer-pale-ale/270012/216574/,PARK,
Golden Ale/Blond Ale,44,Gallows Gold,https://www.ratebeer.com/beer/park-gallows-gold/310405/,PARK,74
American Pale Ale,46,Spankers IPA,https://www.ratebeer.com/beer/park-spankers-ipa/310407/,PARK,40
Premium Bitter/ESB,61,Red Rocks,https://www.ratebeer.com/beer/peerless-red-rocks/102630/,PEERLESS,89
Mild Ale,62,Monkeytown Mild,https://www.ratebeer.com/beer/phoenix-monkeytown-mild/44771/,PHOENIX,87
Golden Ale/Blond Ale,,Coaster,https://www.ratebeer.com/beer/platform-5-coaster/320383/,PLATFORM 5,
Golden Ale/Blond Ale,,Antelope,https://www.ratebeer.com/beer/platform-5-the-antelope/320384/,PLATFORM 5,
American Pale Ale,,American Pale Ale,https://www.ratebeer.com/beer/platform-5-american-pale-ale/512019/,PLATFORM 5,
Golden Ale/Blond Ale,42,VPA,https://www.ratebeer.com/beer/portobello-vpa/206172/,PORTOBELLO,67
Golden Ale/Blond Ale,36,Westway,https://www.ratebeer.com/beer/portobello-westway-pale-ale/346517/,PORTOBELLO,48
Golden Ale/Blond Ale,40,Carnival Pale,https://www.ratebeer.com/beer/portobello-carnival-pale/220642/,PORTOBELLO,56
Golden Ale/Blond Ale,,Summer Blonde,https://www.ratebeer.com/beer/portobello-summer-blonde/284713/,PORTOBELLO,
Pilsener,26,Pilsner Cask,https://www.ratebeer.com/beer/portobello-london-pilsner/209246/,PORTOBELLO,51
Porter,68,Market Porter,https://www.ratebeer.com/beer/portobello-market-porter/199591/,PORTOBELLO,50
American Pale Ale,53,APA,https://www.ratebeer.com/beer/portobello-american-pale-ale/207677/,PORTOBELLO,46
India Pale Ale (IPA),47,Stiff Lip IPA,https://www.ratebeer.com/beer/portobello-stiff-lip-ipa/398143/,PORTOBELLO,25
Mild Ale,64,Nutty Slack,https://www.ratebeer.com/beer/prospect-nutty-slack/88345/,PROSPECT,88
Bitter,45,Madog's Ale,https://www.ratebeer.com/beer/purple-moose-madogs-ale--cwrw-madog/50456/,PURPLE MOOSE,86
Golden Ale/Blond Ale,,Golden Shot,https://www.ratebeer.com/beer/range-ales-golden-shot/427528/,RANGE,
Bitter,,Double Tap,https://www.ratebeer.com/beer/range-ales-double-tap/427527/,RANGE,
unknown,0,Black Ops,,RANGE,0
Premium Bitter/ESB,31,Fortyniner,https://www.ratebeer.com/beer/ringwood-fortyniner-bottle/177180/,RINGWOOD,26
Premium Bitter/ESB,38,Double Hop IPA,https://www.ratebeer.com/beer/robinsons-double-hop-cask/67888/,ROBINSONS,40
Stout,73,York Chocolate Stout,https://www.ratebeer.com/beer/rudgate-york-chocolate-stout/171852/,RUDGATE,58
American Pale Ale,,Valkyrie APA,https://www.ratebeer.com/beer/rudgate-valkyrie-apa/442815/,RUDGATE,
Premium Bitter/ESB,,Nordic Storm,https://www.ratebeer.com/beer/rudgate-nordic-storm/173669/,RUDGATE,
Golden Ale/Blond Ale,76,Hop Twister,https://www.ratebeer.com/beer/salopian-hop-twister/65389/,SALOPIAN,97
Wheat Ale,48,Lemon Dream,https://www.ratebeer.com/beer/salopian-lemon-dream/22846/,SALOPIAN,76
Golden Ale/Blond Ale,59,Elderflower Blonde,https://www.ratebeer.com/beer/saltaire-elderflower-blonde/107524/,SALTAIRE,93
Fruit Beer,39,Raspberry Blonde,https://www.ratebeer.com/beer/saltaire-raspberry-blonde/106241/,SALTAIRE,58
Fruit Beer,62,Blackberry Cascade,https://www.ratebeer.com/beer/saltaire-blackberry-cascade/87332/,SALTAIRE,87
Black IPA,55,Cascadian Black IPA,https://www.ratebeer.com/beer/saltaire-cascadian-black/134605/,SALTAIRE,19
Golden Ale/Blond Ale,62,Session Pale Ale,https://www.ratebeer.com/beer/sambrooks-session/318981/,SAMBROOKS,94
Bitter,33,Wandle,https://www.ratebeer.com/beer/sambrooks-wandle/98632/,SAMBROOKS,47
